Module/File,Lines of Code,Cyclomatic Complexity (avg),Maintainability Index,Pylint Score,PEP8 Violations
setup.py,29,0,100.0,0.0,11
dammit.py,829,3.85,40.08,7.39,318
diagnose.py,204,0,0,N/A,1
element.py,1611,0,0,N/A,1
testing.py,592,3.72,45.19,0.0,39
__init__.py,406,3.17,100.0,N/A,34
_html5lib.py,285,3.49,46.01,3.16,27
_htmlparser.py,258,0,0,N/A,1
_lxml.py,233,0,0,N/A,1
__init__.py,321,3.17,100.0,6.34,34
test_builder_registry.py,141,3.47,68.82,6.92,17
test_docs.py,36,0,90.43,0.0,5
test_html5lib.py,85,0,0,N/A,1
test_htmlparser.py,19,3.0,100.0,8.89,1
test_lxml.py,91,0,0,N/A,1
test_soup.py,434,0,0,N/A,1
test_tree.py,1829,3.59,6.87,7.13,69
__init__.py,1,3.17,100.0,N/A,34
conf.py,256,0,100.0,0.0,59
demonstrate_parser_differences.py,95,0,0,N/A,1

SUMMARY,7755,3.4,74.78,3.98,656
