Module/File,Lines of Code,Cyclomatic Complexity (avg),Maintainability Index,Pylint Score,PEP8 Violations
setup.py,107,0,67.35,5.91,1
conf.py,386,0,100.0,1.03,7
flask_theme_support.py,86,0.0,100.0,5.0,17
adapters.py,696,3.45,47.45,6.49,36
api.py,157,0.0,100.0,0.53,18
auth.py,314,2.95,47.35,8.61,4
certs.py,17,0,64.36,0.0,0
compat.py,106,0.0,100.0,0.0,32
cookies.py,561,3.09,39.76,8.9,17
exceptions.py,151,0.43,77.25,8.46,3
help.py,134,0.0,59.54,4.19,1
hooks.py,33,0.0,93.0,8.57,0
models.py,1039,3.58,21.69,7.83,28
packages.py,23,0,86.67,9.33,0
sessions.py,831,3.33,38.09,8.28,29
status_codes.py,128,0.0,84.22,8.0,2
structures.py,99,3.5,81.77,9.74,1
utils.py,1086,0.0,69.2,9.0,26
_internal_utils.py,50,0.0,100.0,10.0,2
__init__.py,184,0.0,100.0,5.22,49
__version__.py,14,0,100.0,9.0,0
compat.py,23,0.0,100.0,6.67,32
conftest.py,58,0.0,75.6,3.24,0
test_adapters.py,8,0.0,78.02,0.0,1
test_help.py,27,0.8,86.45,3.85,1
test_hooks.py,22,0.0,67.29,0.0,1
test_lowlevel.py,428,0.0,44.15,9.03,10
test_packages.py,13,0.0,100.0,0.0,0
test_requests.py,3040,3.72,0.0,7.66,61
test_structures.py,78,3.43,45.11,2.86,1
test_testserver.py,165,3.67,49.21,8.58,5
test_utils.py,977,2.13,18.98,5.36,23
utils.py,17,0.0,69.2,8.33,26
__init__.py,14,0.0,100.0,10.0,49
server.py,176,3.2,52.35,9.04,1
__init__.py,0,0.0,100.0,N/A,49

SUMMARY,11248,2.87,73.26,5.96,533
